title,company,location,date,job_url,job_description,applied,hidden,interview,rejected,date_loaded
AI Engineer,Origence,"Irvine, CA",2024-06-24,https://www.linkedin.com/jobs/view/3957389455/,"Origence is looking to hire a talented 
AI Engineer
!
As an 
AI Engineer,
 you will play a crucial role in designing, developing, and deploying state-of-the-art AI solutions, leveraging the latest advancements in Generative AI and Microsoft technologies. You will be at the forefront of innovation, working on projects that integrate cutting-edge AI capabilities into real-world applications. Your work will involve close collaboration with a dynamic team to build intelligent systems, develop advanced machine learning models, and create impactful AI-driven applications.
Algorithm Development
What you will do:
- Design, develop, and implement advanced AI algorithms and models, focusing on Generative AI to drive innovation and solve complex business problems.
- Utilize Azure Machine Learning and other Microsoft AI technologies to enhance algorithm performance and capabilities.
- Stay updated with the latest trends in AI, especially Generative AI, to ensure the use of best practices and cutting-edge techniques.
Data Processing
- Leverage Azure data services to collect, clean, and preprocess vast datasets, ensuring data quality and relevance for AI models.
- Work in collaboration with data experts to harness insights and understand data intricacies, optimizing data utilization for AI solutions.
Model Training And Evaluation
- Employ Azure Machine Learning environments to train, validate, and fine-tune machine learning models efficiently.
- Utilize Microsoft AI frameworks and tools to assess model performance rigorously, ensuring they meet stringent industry standards.
Deployment And Integration
- Implement and deploy AI models effectively using Azure's robust cloud infrastructure, ensuring scalable and secure AI solutions.
- Integrate AI functionalities into broader systems or applications, collaborating closely with software engineering teams for seamless implementation.
Continuous Improvement
- Monitor AI applications and models post-deployment, leveraging Azure's monitoring tools to optimize performance continuously.
- Engage with the AI community to stay informed about new technologies and methodologies, integrating them to foster innovation and excellence in AI development.
Education
The ideal candidate:
- Bachelor’s or Master’s degree in Computer Science, Artificial Intelligence, or a related field, with a strong emphasis on AI technologies.
Experience
- Demonstrable experience in AI, particularly with Generative AI, Azure, and Microsoft AI technologies.
- Expertise in cloud computing, particularly Azure, and familiarity with its AI and machine learning services.
Specialized Skills
- Proficiency in Python programming languages with a focus on AI application development.
- Deep understanding of Generative AI techniques and frameworks, as well as experience with Microsoft AI technologies and machine learning frameworks like TensorFlow and PyTorch.
Perks And Benefits
- Flexible Working Environment
- Paid Time Off
- 401k (8% match)
- College Tuition Benefits/ Tuition Reimbursement
- Good Benefits options
- Company Culture! Cultural and Holiday celebrations, Theme days like Star Wars Day & Bring your Kids to Work Day, Monthly Townhalls and Quarterly Company Meetings that ensure awareness, inclusion, and transparency.
The starting salary range for this full-time position is $99400 - $124300 per year. This base pay will take into consideration internal equity, candidate’s geographic region, job-related knowledge and experience among other factors. Origence maintains a highly competitive compensation program. Under company guidelines, this position is eligible for an annual bonus to provide an incentive to achieve targeted goals. Bonuses are awarded at company’s discretion on an individual basis.
Origence is an equal opportunity employer. All recruitment, hiring, training, compensation, benefits, discipline, and other terms and conditions of employment will be based upon an individuals’ qualifications regardless of race, religion, color, sex, gender identity, sexual orientation, national origin, ancestry, military service, marital status, pregnancy, age, protected medical condition, genetic information, disability or any other category protected by federal, state or local law.
                
            
                            
            ",0,0,0,0,2024-06-23 23:33:39.468487
AWS Cloud Engineer,Talent Groups,"Springfield, MA",2024-06-23,https://www.linkedin.com/jobs/view/3956982894/,"Duration: 
5 months to start
Job Description
The client is looking for an experienced AWS DevOps engineer who is fluent in managing an enterprise multiregion AWS deployment utilizing Terraform and GitOps. This resource is expected to contribute to a current high priority AWS migration project immediately. The successful candidate will collaborate with the client s Infrastructure Engineering.
Candidates provided must be pre-screened to ensure they fully meet the qualifications and experience level requirements listed herein:
- Experience with Authoring Terraform modules from scratch and maintaining existing Terraform code base
- Experience with Terraform Enterprise Cloud managment and configuration
- Advanced knowledge of the AWS provider for Terraform
- Advanced understanding of AWS CloudWatch, CloudTrail, Directory Service, DNS (Route53) etc. 
- Advanced understanding of AWS network fundamentals
- Advanced understanding of AWS IAM and SSO
- Current working experience in Terraform for AWS management
- Advanced understanding of GitOps methodologies
- Current working experience with command line Git operations
- Understanding of AWS Control Tower and AFT
Desired, not required:
- Experience with HashiCorp Terraform Cloud
- Experience with Bitbucket Cloud
Education
- Current AWS Solutions Architect Associate Certification, or current AWS Security Specialty
- Certification, or current AWS Advanced Networking Specialty Certification, or equivalent work and/or education experience
Primary Responsibilities
- Manage IAM Policies and Role creation and updates. Troubleshoot IAM Roles & Policies for organization. Configure / Manage third-party integration roles and privileges (i.e. Dynatrace, PrismaCloud, Device42, Insight CMDB, Infoblox, IIQ, etc.)
- Manage AWS IAM Identity Center policy set creation and updates
- Maintain existing Terraform code as well as develop new code
- Develop / configure /manage new or existing networking objects (i.e. VPC, TGW, DX, VPN, Network Firewall, etc.)
- Develop / configure /manage new or existing AWS Key Management Service (KMS) objects
- Develop / configure /manage new or existing AWS CloudWatch monitors to monitor AWS resources and the applications. 
- Develop / configure /manage new or existing AWS CloudTrail service object is an AWS
- Develop / configure /manage new or existing AWS Directory Service (AD) objects
- Develop / configure /manage new or existing AWS DNS (Route53) objects
- Utilize AFT and Control Tower to vend new organizational sub-accounts
- Perform code reviews and manage Pull requests
- Update Bitbucket repository configurations and permissions and update Terraform Cloud workspace configurations and permissions        
            
                            
            ",0,0,0,0,2024-06-23 23:33:39.468487
Application Engineer,Omnicell,"Dallas, TX",2024-06-23,https://www.linkedin.com/jobs/view/3956417825/,"Job Description
Job Title
The Application Engineer (AE) plays a crucial role in the initiation, planning and execution of the essential technical aspects of Omnicell system implementations. The Application Engineer works in conjunction with the assigned project lead in facilitating the configuration and testing of interfaces, databases, and best practice system configurations.
Responsibilities
-  Perform Interface Application testing, mapping, to include all interfaces within scope for the assigned project 
-  Perform Database preparation, import, build and deployment 
-  Implement best practice configurations 
-  Proactively identify significant project risks and escalate to project lead 
-  Provide internal project status reporting to project lead 
-  Works closely with project lead to execute all activities as outlined in the project plan; specific to interface and database requirement 
Required Knowledge And Skills
-  Basic knowledge of systems and product implementation, troubleshooting and problem resolution 
-  Strong communication skills and the ability to deal effectively with customers 
-  Resolve general technical issues 
-  Oversee multiple projects simultaneously 
-  Detail oriented, independent, and able to adjust to changing priorities 
-  Work collaboratively and enjoy working in a fast paced, technical environment 
-  Multi-task and manage time efficiently 
-  Basic knowledge of Word, Excel, PowerPoint, Outlook 
Basic Qualifications
-  Bachelor’s Degree or 1+ year experience in related field 
-  1+ years of experience demonstrated in database build/configuration, or technical implementation experience 
-  Excellent customer verbal and written communication skills 
Preferred Qualifications
-  Bachelors or Masters Degree in CS, MIS, Healthcare, or relate field 
-  Pharmacy or Clinical Operations Work Experience 
Work Conditions
-  Remote work position 
Role may require work outside of normal business hours, including occasional weekends and holidays
About Us
Since 1992, Omnicell has been committed to 
transforming pharmacy care
 through 
outcomes-centric innovation
 designed to optimize clinical and business outcomes across all settings of care. We strive to be the healthcare provider’s most trusted partner by our guiding promise of “Outcomes. Defined and Delivered.”  
Our comprehensive portfolio of 
robotics, smart devices, intelligent software, and expert services
 is helping healthcare facilities worldwide 
to improve business and clinical outcomes
 as they move closer to the industry vision of the Autonomous Pharmacy.  
Our guiding principles inform everything we do: 
- As Passionate Transformers, we find a better way to innovate relentlessly. 
- Being Mission Driven, we consistently deliver on our promises. 
- Our Entrepreneurial spirit makes the most of EVERY opportunity for innovation. 
- Understanding that Relationships Matter creates synergies that yield the greatest benefits for all.
- In Doing the Right Thing, we lead by example in ALL we do. 
We value creating an inclusive culture and a healthier world through ESG initiatives, Employee Impact Groups, learning, well-being programs, and more. Join us in transforming the pharmacy care delivery model, making patient care safer and smarter for all.
                
            
                            
            ",0,0,0,0,2024-06-23 23:33:39.468487
Automation QA Engineer,Team Remotely Inc,"Wilmington, DE",2024-06-23,https://www.linkedin.com/jobs/view/3957176555/,"This is a remote position.
Automation QA Engineer
 (1 year experience, remote)
Be part of our future! This job posting builds our talent pool for potential future openings. We'll compare your skills and experience against both current and future needs. If there's a match, we'll contact you directly. No guarantee of immediate placement, and we only consider applications from US/Canada residents during the application process.
 Hiring Type:
 Full-Time
 Base Salary:
 $58K-$68K Per Annum.
Role Overview:
As an Automation QA Engineer, you will be responsible for designing, developing, and executing automated test scripts to validate the functionality and performance of our software applications. Your technical expertise and attention to detail will contribute to the delivery of high-quality software solutions.
Responsibilities:
- Collaborate closely with cross-functional teams to understand software requirements and design effective automated test plans. 
- Develop and maintain automated test scripts using testing frameworks and tools (e.g., Selenium, Cypress, TestNG). 
- Execute automated tests to identify defects, inconsistencies, and performance issues. 
- Analyze test results, identify root causes of issues, and report defects to the development team. 
- Work closely with developers to reproduce and diagnose defects as needed. 
- Participate in code reviews and provide feedback to improve code quality. 
- Continuously enhance and maintain the automated testing infrastructure. 
- Contribute to the improvement of testing processes and methodologies. 
Qualifications:
- Bachelor's degree in Computer Science, Engineering, or a related field. 
- 1 year of experience in automation testing. 
- Proficiency in automation testing tools and frameworks (e.g., Selenium, Cypress, JUnit). 
- Strong programming skills in languages such as Java, Python, or JavaScript. 
- Experience with version control systems (e.g., Git). 
- Familiarity with continuous integration and continuous deployment (CI/CD) practices. 
- Analytical mindset and problem-solving skills. 
- Excellent communication and collaboration abilities. 
Benefits
- Flexible vacation, unlimited paid holidays, and paid sick days 
- 401(k) with up to 2% employer match 
- Health, vision, and dental insurance        
            
                            
            ",0,0,0,0,2024-06-23 23:33:39.468487
Data Scientist Engineer,Team Remotely Inc,"Bridgeport, CT",2024-06-23,https://www.linkedin.com/jobs/view/3957172941/,"This is a remote position.
Data Scientist Engineer
 (1 year experience, remote)
Be part of our future! This job posting builds our talent pool for potential future openings. We'll compare your skills and experience against both current and future needs. If there's a match, we'll contact you directly. No guarantee of immediate placement, and we only consider applications from US/Canada residents during the application process.
 Hiring Type:
 Full-Time
 Base Salary:
 $59K-$69K Per Annum.
Responsibilities
Skills and Abilities:
- Strong knowledge of R or Python for data analysis and modeling. 
- Proficiency in statistical programs such as R, SAS, MATLAB, or Python. 
- Familiarity with spreadsheets (VBA) and database applications (Access, Oracle, SQL, or equivalent technology). 
- Basic understanding of SQL, Javascript, XML, JSON, and HTML. 
- Ability to learn new methods quickly and work under deadlines. 
- Excellent teamwork and communication skills. 
- Strong analytical and problem-solving abilities. 
- Basic understanding of SQL, Javascript, XML, JSON, and HTML. 
Preferred:
- Knowledge of actuarial concepts and life, health, and/or annuity products. 
- Experience with statistical modeling techniques such as GLM, Decision Trees, Time Series, Regression, etc. 
- Familiarity with Microsoft DeployR. 
- Exposure to insurance risk analysis. 
- Basic experience in computational finance, econometrics, statistics, and math. 
- Knowledge of SQL and VBA. 
- Familiarity with R or Python for predictive modeling        
            
                            
            ",0,0,0,0,2024-06-23 23:33:39.468487
Deployment Engineer,AlgoSec,United States,2024-06-23,https://www.linkedin.com/jobs/view/3956985551/,"At AlgoSec, what you do matters!
Over 1,800 of the world’s leading organizations trust AlgoSec to help secure their most critical workloads across public cloud, private cloud, containers, and on-premises networks. 
Join our global team, securing application connectivity, anywhere. 
We are hiring a Deployment Engineer based in the United States
Reporting to:
 Deployment Engineers Team Leader, Americas
Location:
 United States (Home Office)
Direct employment
Responsibilities:
- Deployment of AlgoSec products at US-based customers’ sites including installation, configuration, administration, upgrading, troubleshooting and ‘on the job’ training to increase speed of AlgoSec product value recognition.
- Working cross functionally with the Sales Organization, US-based Professional Services, Technical Support and R&D to provide a smooth deployment of AlgoSec solutions. 
- Ability to operate under pressure in deadline-driven situations and business emergencies.
- Customer oriented and ability to establish customer’s trust.
- Advocate customer needs/issues across-AlgoSec’s departments.
- Writes Statements of Work (SOW) and technical documentation to provide solutions to meet customer requirements.
- Becomes a SME (Subject Matter Expert) on AlgoSec products and how to implement into a customer's environment.
Requirements:
- At least 5 years of previous experience in similar position, preferably in a software company. 
- Experience in Linux/UNIX environments. 
- Experience with networking devices (Switches, Routers etc.), including virtual routing and Software-defined networking. 
- Experience in firewall administration and configuration (Checkpoint, Cisco, Juniper, Fortinet, etc.)
- Problem solver, result driven, demonstrating a ‘make it happen’ attitude. 
- Excellent communication skills (both written and verbal) with attention to detail. 
- Team player, pleasant to work with, with a high level of integrity. 
- Bright, self-learner.
- Willingness to travel 20% when safe to do so, working mostly on-site with AlgoSec customers in US.
Advantages:
- Experience in Linux script languages (PERL, shell) 
A reasonable estimate of the OTE for this role, at the time of posting, is $90,000 - $120,000. Exact compensation may vary based on skill set, experience, location, training, and certifications. If your requirements fall outside of this range, you are encouraged to apply.
AlgoSec is an Equal Opportunity Employer (EEO), committed to creating a friendly, inclusive environment that is a pleasure to work in, and where there is an unbiased acceptance of others. AlgoSec believes that diversity and an inclusive company culture are key drivers of creativity, innovation and performance. 
Furthermore, a diverse workforce and the maintenance of an atmosphere that welcomes versatile perspectives will enhance our ability to fulfill our vision.        
            
                            
            ",0,0,0,0,2024-06-23 23:33:39.468487
DevOps Engineer,HireMeFast LLC,"Savannah, GA",2024-06-23,https://www.linkedin.com/jobs/view/3957186700/,"This is a remote position.
 DISCLAIMER: 
 This job posting is intended for active pooling of candidates who will become part of our talent pool. Your qualifications will be assessed against both current and future job openings. Should your application align with a role that corresponds to your skills and experience, and an opportunity arises, our recruitment team will reach out to you immediately. Please note that this does not guarantee immediate placement or contact. Additionally, we exclusively consider applications from individuals who are currently reside in the US/Canada during their application process.
 Salary:
 $62,000 - $72,000 per annum
 Experience Required: 
 Minimum 1 year of project experience
As a DevOps Engineer, responsibilities include:
- Maintain and improve our infrastructure on AWS, utilizing services such as EC2, S3, EKS, MSK, RDS, Cognito, and Lambda 
- Maintain and improve our CI/CD pipelines 
- Collaborate with software engineers to ensure smooth updates into the staging and production environments 
- Work with the development team to troubleshoot and resolve production issues 
- Implement robust security practices, including data encryption, access controls, and vulnerability assessments 
- Ensure our systems observability and troubleshoot issues related to performance and security, aiming for high availability and scalability of our SaaS platform 
- Automate operational tasks using scripting languages (e.g., Bash, Python) to increase efficiency and reduce manual interventions 
- Proactively identify cost-saving opportunities across our infrastructure and implement them 
We’re looking for someone who has:
- Experience in building and maintaining large-scale cloud-based infrastructure using AWS, Terraform, Kubernetes, Docker, and Github Actions 
- Excellent written and verbal communication skills and ability to articulate technical concepts clearly and succinctly 
- Demonstrable track record of designing and implementing DevOps strategies that have delivered increased feature velocity, product stability, and observability 
- Solid understanding of infrastructure metrics and experience utilizing them to make key decisions 
- Excellent communication and interpersonal skills, with a knack for fostering a strong inter-team culture and collaboration 
- Nice to have: Domain knowledge of SaaS products, especially Enterprise Resource Planning (ERP) systems 
Benefits:
- Competitive salary and meaningful equity 
- Flexible time-off: We understand the importance of a work-life balance 
- An allocated learning budget for your personal and professional growth 
Company events (Hack Weeks, All Hands, weekly social events) and friends and family events        
            
                            
            ",0,0,0,0,2024-06-23 23:33:39.468487
Embedded Software Engineer,Actalent,"Mississauga, Ontario, Canada",2024-06-23,https://www.linkedin.com/jobs/view/3957270936/,"Description:
-  Design, develop, and maintain computer system software in accordance with approved software design documents for inclusion into military products.
-  Translate functional specifications into defined software capabilities.
-  Update/ maintain bug tracking repository to summarize design and code status, and software user manuals.
-  Keep abreast of state-of-the-art software systems in order to advance programming techniques and to develop improved programming efficiency.
-  In-field support with some travel required.
Skills:
Firmware, Embedded C, RTOS, driver management, embedded system, servo drives, VxWorks, FPGA
Additional Skills & Qualifications:
-  Bachelor of Science in Electrical/Computer Engineering or Computer Science or equivalent.
-  3+ years of full development life cycle experience through test and deployment and cross platform skills.
-  Experience with embedded Real Time software development using VxWorks
-  Experience with C / C++ language
-  Experience with control systems software design
-  Exposure to servo drive applications
-  Familiarity with software revision control
-  Experience in VHDL programming for FPGAs
-  Knowledge of industry standard architectures such as PCI-Express, SRIO, and VPX form factors
-  Ability to communicate technical solutions to project management and the rest of the development team
-  Must be able to work independently and within a team
-  Good verbal and written communication skills
-  Help to define requirements for complex Navy systems
-  Create functional specifications by decomposing high level requirements into defined capabilities
-  Develop and update Software Requirements Description (SRD), Software Design Description (SDD), and Software Test Plans
Paid Vacation + STAT holidays + Benefits through Manulife + Access to free upskilling courses through Udemy + Additional savings through Perkopolis
À propos d'Actalent:
Actalent est un chef de file mondial des services d’ingénierie et de sciences et des solutions de talents. Nous aidons les entreprises visionnaires à faire progresser leurs initiatives en matière d’ingénierie et de science en leur donnant accès à des experts spécialisés qui favorisent la mise à l’échelle, l’innovation et la mise en marché rapide. Avec un réseau de près de 30 000 consultants et plus de 4 500 clients aux États-Unis, au Canada, en Asie et en Europe, Actalent est au service d’un grand nombre d’entreprises du classement Fortune 500.
La diversité, l’équité et l’inclusion
Chez Actalent, la diversité et l’inclusion constituent le pont vers l’équité et la réussite de notre personnel. La diversité, l’équité et l’inclusion (DE&I) sont ancrées dans notre culture par :
- L’embauche des talents diversifiés ;
- Le maintien d’un environnement inclusif par une autoréflexion permanente ;
- La mise en place d’une culture de soin, d’engagement, et de reconnaissance par des résultats concrets ;
- L’assurance des opportunités de croissance pour nos gens.
Actalent est un employeur souscrivant au principe de l’égalité des chances et accepte toutes les candidatures sans tenir compte de la race, du sexe, de l’âge, de la couleur, de la religion, des origines nationales, du statut d’ancien combattant, d’un handicap, de l’orientation sexuelle, de l’identité sexuelle, des renseignements génétiques ou de toute autre caractéristique protégée par la loi.
Si vous souhaitez faire une demande d’accommodement raisonnable, tel que la modification ou l’ajustement du processus de demande d’emploi ou d’entrevue à cause d’un handicap, veuillez envoyer un courriel à actalentaccommodation@actalentservices.com pour connaître d’autres options d’accommodement.
About Actalent
Actalent is a global leader in engineering and sciences services and talent solutions. We help visionary companies advance their engineering and science initiatives through access to specialized experts who drive scale, innovation and speed to market. With a network of almost 30,000 consultants and more than 4,500 clients across the U.S., Canada, Asia and Europe, Actalent serves many of the Fortune 500.
Diversity, Equity & Inclusion
At Actalent, diversity and inclusion are a bridge towards the equity and success of our people. DE&I are embedded into our culture through:
- Hiring diverse talent
- Maintaining an inclusive environment through persistent self-reflection
- Building a culture of care, engagement, and recognition with clear outcomes
- Ensuring growth opportunities for our people
The company is an equal opportunity employer and will consider all applications without regard to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.
If you would like to request a reasonable accommodation, such as the modification or adjustment of the job application process or interviewing process due to a disability, please email actalentaccommodation@actalentservices.com for other accommodation options.
                
            
                            
            ",0,0,0,0,2024-06-23 23:33:39.468487
F1-OPT Junior QA Automation Engineer,Dexian Inc,"San Francisco, CA",2024-06-23,https://www.linkedin.com/jobs/view/3957336163/,"This is a remote position.
F1-OPT Junior QA Automation Engineer (1 year experience, remote – US/Canada Only)
**F1-OPT visa holders only**
About EPCVIP:
We specialize in lead generation within the Financial Services Industry. Are experts at PPC traffic, search engine, display and email marketing has propelled us to the forefront of the lead generation industry. We have developed a customizable optimization platform, allowing us to yield the highest EPCs in the industry. The key to our success is attributed to our talented employees and superior proprietary technology.
Job Overview:
We are on the lookout for a motivated Junior to Mid-Level QA Engineer with a passion for software quality and an eagerness to learn and grow within our dynamic team. This role provides the perfect opportunity to develop your skills in software testing, quality assurance processes, and collaborative problem-solving. The ideal candidate will have a foundational understanding of QA methodologies and a desire to contribute to the enhancement of software performance and reliability.
Responsibilities:
- Feature Testing: Test new features to ensure they function as expected, based on acceptance criteria outlined in Jira tickets. This includes creating and executing detailed test cases that cover all functional aspects of the feature. 
- Smoke Testing Post-Deployment: Conduct smoke tests on features once they are deployed to production to ensure overall system stability and that the new features integrate seamlessly without issues. 
- Bug and Production Issue Resolution: Test and verify bug fixes and address production issues in a timely manner. This process requires prioritizing critical issues to ensure they are resolved efficiently to maintain system reliability. 
- Documentation: Create and maintain critical path documentation, including test cases that outline the essential steps for testing key functionalities. This documentation is vital for understanding the system's core components and ensuring consistent testing approaches. 
- Collaboration: Communicate effectively with the development team and business stakeholders to ensure clear understanding of requirements, test outcomes, and any issues identified during the testing process. This involves providing regular updates and facilitating discussions to resolve any discrepancies between expected and actual behavior. 
- Load Testing (bonus): Perform load testing on new features to assess their performance under expected user loads. This helps in identifying potential bottlenecks and ensures the feature can handle real-world usage scenarios. 
- Automated Testing (bonus): Develop skills in writing automated tests to enhance testing efficiency and coverage. Being able to automate repetitive test cases not only saves time but also ensures consistent test execution. 
- 1 year or more of experience in a quality assurance role, demonstrating a foundational understanding of QA principles and practices. 
- Knowledge of QA methodologies, processes, and tools is essential. Familiarity with test management and API testing tools such as Testmo, Zephyr, and Postman, as well as proficiency in using the browser console for network troubleshooting, is highly valued. 
- Experience in writing test cases that are comprehensive, clear, and concise. Candidates should demonstrate the ability to cover all necessary scenarios to ensure thorough testing. 
- Must be a strong team player with excellent collaboration and communication skills. The ideal candidate is motivated, proactive in problem-solving, and committed to getting things done efficiently. 
- Detail-oriented with strong organizational skills, ensuring meticulous attention to the testing process and the ability to manage multiple tasks efficiently. 
- Knowledge of Agile process frameworks would be beneficial, with an understanding of how QA fits within agile development cycles to facilitate quick iterations and continuous improvement. 
- Ability to troubleshoot complex software workflows, identifying and resolving issues systematically. 
- Experience using SQL to write queries for validating data in databases, demonstrating an ability to engage with technical data validation tasks. 
- Willingness to grow and learn new skills, particularly in the area of automated testing. A desire to expand one's skill set and adapt to new technologies and methodologies is crucial. 
AFFIRMATIVE ACTION/EQUAL OPPORTUNITY EMPLOYER
We are an affirmative action and equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, disability, age, sexual orientation, gender identity, national origin, veteran status, criminal history, genetic information or any of the protected classes.We are committed to providing access, equal opportunity and reasonable accommodation for individuals with disabilities in employment, its services, programs, and activities.        
            
                            
            ",0,0,0,0,2024-06-23 23:33:39.468487
Full Stack Engineer,Mesa,United States,2024-06-23,https://www.linkedin.com/jobs/view/3957198787/,"Company Overview
Mesa is on a mission to make homeownership more affordable and rewarding. Led by a world-class team of repeat founders and fintech operators from Uber, Amex, Robinhood, Capital One, BILT, Cash App, Square, Zillow, LendingTree, and Spotify, they are creating the homeowner membership category.
They are backed by some of the best investors in the world and are looking for world class talent to join their team.
The Role
Full Stack Engineer
We’re looking for an experienced full stack engineer to contribute to the construction of our core products. You’ll be working in lockstep with our Engineering and Product teams to oversee the development of our mobile app, core payments infrastructure, and other web based applications to manage marketplace and rewards products. We’re building our MVP with top-tier financial services partners and suppliers. We’ve invested months into due diligence, surveying the market (talking to real people!), and targeting the right initial market to ultimately bring this product to life. This is an extremely hands-on and truly growth centric role. If you have a passion for building tech from 0-1 while putting the customer first, then this is the role for you!
How you’ll make an impact
- Contribute to the development of our MVP mobile app, backend and web experiences
- Collaborate closely with our engineering team and development firm to ensure smooth and timely delivery
- Own the development and deployment of our core products using modern industry-standard tools, languages, and frameworks
- Drive technical delivery - everything from architectural design to development to QA
- Help define the technical architecture and develop the scalable solutions end-to-end
- Participate in customer discovery efforts and initiatives as our Beta users help us refine our product
Requirements
- 5+ years of experience of full stack development using Javascript/Typescript
- Experience developing mobile apps in React Native, backend systems in NodeJS frameworks and web applications in NextJS/React
- Experience with CI/CD workflows and tools
- Experience with growth experiments or A/B testing 
- Strong understanding of RESTful APIs and GraphQL
- Ability to thrive in a fast-paced startup environment, handle ambiguity, and have strong product ownership mindset
Nice to have:
- Experience integrating with fintech SaaS products such as Plaid and Marqeta
- Experience in the payments, banking, credit or marketplace spaces
- Familiarity with cloud platforms such as AWS
Benefits
- Competitive compensation, including meaningful equity
- Best in class health, dental, and vision insurance
- 401(k) plan
- Unlimited vacation policy
Location:
 We’re building our team in Austin, TX, Charlotte, NC, and New York, NY but are open to remote candidates.
To Apply:
 Principals only. But seriously, no recruiters.        
            
                            
            ",0,0,0,0,2024-06-23 23:33:39.468487
